id,cow_id,timestamp,milk_yield_l,milk_conductivity,milk_temp_c,scc_value,activity_score,rumination_min,environment_heat_index,hygiene_score,feed_score,milking_hygiene_score,source,farm_temperature_c,farm_humidity,milk_pH,body_temperature,udder_surface_temperature
1,c1,2026-09-12T17:53:22.222573+00:00,10.0,4.5,38.5,,0.9,520.0,70.0,0.9,0.9,0.95,sensor,,,,,
2,c1,2026-02-01T08:00:00,10.0,4.5,38.5,,0.9,520.0,70.0,0.9,0.9,0.95,sensor,,,,,
3,c1,2026-02-01T08:00:00,10.0,4.5,38.5,,0.9,520.0,70.0,0.9,0.9,0.95,sensor,,,,,
4,c1,2026-02-01T08:00:00,10.0,4.5,38.5,,0.9,520.0,70.0,0.9,0.9,0.95,sensor,,,,,
5,c1,2026-02-01T08:00:00,10.0,4.5,38.5,,0.9,520.0,70.0,0.9,0.9,0.95,sensor,,,,,
6,test_c,2026-09-12T18:26:22.307626+00:00,12.0,4.5,38.5,,0.9,520.0,70.0,0.9,0.9,0.95,sensor,,,,,
7,c1,2026-02-01T08:00:00,14.0,4.8,38.6,,0.9,520.0,70.0,0.9,0.9,0.95,sensor,,,,,
8,cow_audit_01,2026-09-12T18:32:50.885731+00:00,14.0,4.5,38.5,,0.9,520.0,70.0,0.9,0.9,0.95,sensor,,,,,
9,c1,2026-09-13T21:00:00,10.8,6.3,39.5,600000.0,0.6,360.0,81.0,0.7,0.7,0.76,sensor,,,,,
10,c1,2026-09-09T08:00:00,15.0,4.7,38.2,180000.0,0.91,520.0,70.0,0.92,0.92,0.95,sensor,,,,,
11,c1,2026-09-10T08:00:00,14.2,5.0,38.5,230000.0,0.85,480.0,72.0,0.88,0.89,0.91,sensor,,,,,
12,c1,2026-09-11T08:00:00,13.0,5.4,38.8,320000.0,0.78,440.0,74.0,0.83,0.85,0.88,sensor,,,,,
13,c1,2026-09-12T08:00:00,11.8,5.9,39.2,450000.0,0.68,400.0,78.0,0.76,0.78,0.82,sensor,,,,,
14,c1,2026-09-13T08:00:00,10.5,6.3,39.5,600000.0,0.6,360.0,81.0,0.7,0.7,0.76,sensor,,,,,
