cow_id,timestamp,milk_yield_l,milk_conductivity,milk_temp_c,scc_value,target_7d,target_14d,event_onset_day,breed,age_years,parity,vaccination_status,prior_mastitis_flag,calving_date,herd_id
cow_001,2026-01-01T00:00:00,16.366,4.47,38.475,177756,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-01-02T00:00:00,16.43,4.425,38.407,165869,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-01-03T00:00:00,16.715,4.402,38.361,163295,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-01-04T00:00:00,16.764,4.394,38.435,202464,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-01-05T00:00:00,17.289,4.355,38.525,136950,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-01-06T00:00:00,16.547,4.319,38.525,209187,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-01-07T00:00:00,16.98,4.342,38.485,161835,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-01-08T00:00:00,16.262,4.453,38.496,187155,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-01-09T00:00:00,16.185,4.346,38.531,200788,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-01-10T00:00:00,16.792,4.587,38.395,269581,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-01-11T00:00:00,17.886,4.542,38.493,156766,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-01-12T00:00:00,16.916,4.377,38.443,169835,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-01-13T00:00:00,16.596,4.515,38.411,145511,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-01-14T00:00:00,16.017,4.335,38.358,148047,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-01-15T00:00:00,17.05,4.365,38.459,137409,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-01-16T00:00:00,16.544,4.273,38.402,258909,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-01-17T00:00:00,16.206,4.502,38.471,174645,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-01-18T00:00:00,16.175,4.515,38.433,233460,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-01-19T00:00:00,16.144,4.417,38.472,193061,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-01-20T00:00:00,15.913,4.359,38.432,150121,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-01-21T00:00:00,16.773,4.459,38.326,116816,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-01-22T00:00:00,15.891,4.422,38.566,166618,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-01-23T00:00:00,16.581,4.327,38.381,111497,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-01-24T00:00:00,16.455,4.488,38.422,228876,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-01-25T00:00:00,16.557,4.409,38.475,197058,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-01-26T00:00:00,16.985,4.348,38.307,184016,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-01-27T00:00:00,16.193,4.41,38.544,141401,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-01-28T00:00:00,16.812,4.488,38.471,219148,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-01-29T00:00:00,16.262,4.358,38.506,205211,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-01-30T00:00:00,17.094,4.429,38.541,170127,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-01-31T00:00:00,15.991,4.249,38.378,208648,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-02-01T00:00:00,15.809,4.376,38.57,209638,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-02-02T00:00:00,17.274,4.333,38.296,233073,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-02-03T00:00:00,15.83,4.42,38.457,146789,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-02-04T00:00:00,17.167,4.536,38.477,178968,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-02-05T00:00:00,16.554,4.325,38.43,176327,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-02-06T00:00:00,16.085,4.48,38.358,164130,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-02-07T00:00:00,15.454,4.452,38.488,201745,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-02-08T00:00:00,17.781,4.488,38.387,273224,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-02-09T00:00:00,16.054,4.475,38.488,149210,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-02-10T00:00:00,17.096,4.441,38.478,156349,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-02-11T00:00:00,17.054,4.344,38.337,229879,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-02-12T00:00:00,16.276,4.416,38.559,219777,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-02-13T00:00:00,16.753,4.498,38.4,206358,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-02-14T00:00:00,16.968,4.473,38.432,48841,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-02-15T00:00:00,16.719,4.422,38.422,207233,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-02-16T00:00:00,16.588,4.429,38.355,128924,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-02-17T00:00:00,16.635,4.418,38.452,185819,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-02-18T00:00:00,16.653,4.415,38.453,188964,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-02-19T00:00:00,16.886,4.371,38.491,202273,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-02-20T00:00:00,16.516,4.374,38.466,210239,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-02-21T00:00:00,15.984,4.417,38.448,156858,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-02-22T00:00:00,16.189,4.288,38.378,126188,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-02-23T00:00:00,16.191,4.368,38.411,193015,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-02-24T00:00:00,16.384,4.354,38.401,140397,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-02-25T00:00:00,16.38,4.395,38.541,233695,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-02-26T00:00:00,17.133,4.579,38.371,203554,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-02-27T00:00:00,16.811,4.45,38.571,268826,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-02-28T00:00:00,16.909,4.465,38.377,140787,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-03-01T00:00:00,16.783,4.406,38.364,175659,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-03-02T00:00:00,16.63,4.487,38.437,170577,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-03-03T00:00:00,16.471,4.426,38.374,209166,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-03-04T00:00:00,17.454,4.478,38.357,183308,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-03-05T00:00:00,15.674,4.266,38.483,182718,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-03-06T00:00:00,16.159,4.245,38.368,185677,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
cow_001,2026-03-07T00:00:00,16.482,4.468,38.535,168126,0,0,83,Indigenous,4,1,1,0,2026-01-01,demo_herd_01
