cow_id,timestamp,milk_yield_l,milk_conductivity,milk_temp_c,scc_value
COW101,2026-08-18T10:00:00,15.23,4.29,38.28,105571
COW101,2026-08-19T10:00:00,15.24,4.38,38.35,106083
COW101,2026-08-20T10:00:00,15.15,4.31,38.29,115470
COW101,2026-08-21T10:00:00,15.04,4.34,38.35,118796
COW101,2026-08-22T10:00:00,15.07,4.39,38.38,112873
COW101,2026-08-23T10:00:00,15.20,4.41,38.34,117949
COW101,2026-08-24T10:00:00,15.22,4.38,38.33,119701
COW101,2026-08-25T10:00:00,15.18,4.42,38.41,132522
COW101,2026-08-26T10:00:00,15.09,4.47,38.38,132371
COW101,2026-08-27T10:00:00,15.14,4.43,38.44,135468
COW101,2026-08-28T10:00:00,15.10,4.37,38.39,133553
COW101,2026-08-29T10:00:00,14.93,4.40,38.39,136063
COW101,2026-08-30T10:00:00,15.05,4.43,38.43,137660
COW101,2026-08-31T10:00:00,14.94,4.50,38.46,146746
COW102,2026-08-18T10:00:00,14.52,4.48,38.32,123071
COW102,2026-08-19T10:00:00,14.71,4.47,38.37,131031
COW102,2026-08-20T10:00:00,14.67,4.50,38.35,123667
COW102,2026-08-21T10:00:00,14.53,4.45,38.36,141317
COW102,2026-08-22T10:00:00,14.66,4.46,38.41,135638
COW102,2026-08-23T10:00:00,14.66,4.48,38.38,136331
COW102,2026-08-24T10:00:00,14.57,4.47,38.43,149827
COW102,2026-08-25T10:00:00,14.52,4.47,38.48,146691
COW102,2026-08-26T10:00:00,14.44,4.46,38.40,151655
COW102,2026-08-27T10:00:00,14.60,4.51,38.41,150798
COW102,2026-08-28T10:00:00,14.64,4.53,38.51,161542
COW102,2026-08-29T10:00:00,14.40,4.56,38.50,159438
COW102,2026-08-30T10:00:00,14.45,4.56,38.45,160879
COW102,2026-08-31T10:00:00,14.49,4.60,38.54,161214
COW103,2026-08-18T10:00:00,16.00,4.21,38.29,105928
COW103,2026-08-19T10:00:00,15.94,4.28,38.28,98292
COW103,2026-08-20T10:00:00,16.03,4.28,38.31,108178
COW103,2026-08-21T10:00:00,15.83,4.26,38.25,118404
COW103,2026-08-22T10:00:00,16.03,4.34,38.29,108311
COW103,2026-08-23T10:00:00,16.01,4.36,38.29,119007
COW103,2026-08-24T10:00:00,15.80,4.35,38.37,117131
COW103,2026-08-25T10:00:00,15.89,4.34,38.33,132882
COW103,2026-08-26T10:00:00,15.86,4.31,38.38,134448
COW103,2026-08-27T10:00:00,15.79,4.33,38.44,137013
COW103,2026-08-28T10:00:00,15.83,4.37,38.37,134057
COW103,2026-08-29T10:00:00,15.79,4.39,38.39,137831
COW103,2026-08-30T10:00:00,15.71,4.40,38.41,152641
COW103,2026-08-31T10:00:00,15.89,4.35,38.42,152704
COW104,2026-08-18T10:00:00,15.20,4.31,38.34,141705
COW104,2026-08-19T10:00:00,15.19,4.43,38.36,144878
COW104,2026-08-20T10:00:00,14.95,4.43,38.35,163824
COW104,2026-08-21T10:00:00,15.08,4.51,38.44,167285
COW104,2026-08-22T10:00:00,14.86,4.52,38.46,183199
COW104,2026-08-23T10:00:00,14.69,4.57,38.45,196224
COW104,2026-08-24T10:00:00,14.61,4.68,38.48,222519
COW104,2026-08-25T10:00:00,14.62,4.62,38.57,234219
COW104,2026-08-26T10:00:00,14.67,4.77,38.58,230453
COW104,2026-08-27T10:00:00,14.39,4.73,38.57,240176
COW104,2026-08-28T10:00:00,14.26,4.87,38.58,269895
COW104,2026-08-29T10:00:00,14.18,4.85,38.68,287275
COW104,2026-08-30T10:00:00,14.12,4.93,38.63,282813
COW104,2026-08-31T10:00:00,14.17,4.96,38.70,305951
COW105,2026-08-18T10:00:00,14.64,4.41,38.35,158465
COW105,2026-08-19T10:00:00,14.58,4.51,38.34,157844
COW105,2026-08-20T10:00:00,14.65,4.52,38.39,171647
COW105,2026-08-21T10:00:00,14.66,4.52,38.45,199019
COW105,2026-08-22T10:00:00,14.40,4.61,38.48,221971
COW105,2026-08-23T10:00:00,14.23,4.68,38.48,224422
COW105,2026-08-24T10:00:00,14.31,4.68,38.52,248352
COW105,2026-08-25T10:00:00,14.00,4.74,38.62,269599
COW105,2026-08-26T10:00:00,13.91,4.77,38.57,283475
COW105,2026-08-27T10:00:00,14.11,4.90,38.61,280247
COW105,2026-08-28T10:00:00,14.00,4.92,38.67,315540
COW105,2026-08-29T10:00:00,13.84,4.89,38.72,314416
COW105,2026-08-30T10:00:00,13.75,5.05,38.68,325386
COW105,2026-08-31T10:00:00,13.46,5.06,38.73,352516
COW106,2026-08-18T10:00:00,15.08,4.31,38.31,154336
COW106,2026-08-19T10:00:00,14.81,4.48,38.38,195600
COW106,2026-08-20T10:00:00,14.60,4.49,38.33,257276
COW106,2026-08-21T10:00:00,14.50,4.58,38.45,297394
COW106,2026-08-22T10:00:00,14.24,4.63,38.43,350733
COW106,2026-08-23T10:00:00,14.22,4.78,38.54,388903
COW106,2026-08-24T10:00:00,13.77,4.81,38.53,441883
COW106,2026-08-25T10:00:00,13.81,4.99,38.64,470734
COW106,2026-08-26T10:00:00,13.43,4.98,38.67,532296
COW106,2026-08-27T10:00:00,13.30,5.13,38.65,578779
COW106,2026-08-28T10:00:00,13.29,5.25,38.75,623000
COW106,2026-08-29T10:00:00,12.80,5.31,38.75,669570
COW106,2026-08-30T10:00:00,12.89,5.41,38.84,699019
COW106,2026-08-31T10:00:00,12.70,5.40,38.89,758606
COW107,2026-08-18T10:00:00,14.60,4.49,38.35,165325
COW107,2026-08-19T10:00:00,14.60,4.51,38.35,214943
COW107,2026-08-20T10:00:00,14.22,4.68,38.50,269314
COW107,2026-08-21T10:00:00,14.13,4.71,38.55,327792
COW107,2026-08-22T10:00:00,14.03,4.77,38.60,371516
COW107,2026-08-23T10:00:00,13.83,4.88,38.56,429968
COW107,2026-08-24T10:00:00,13.54,4.98,38.66,484120
COW107,2026-08-25T10:00:00,13.20,5.11,38.68,541165
COW107,2026-08-26T10:00:00,12.86,5.24,38.75,593728
COW107,2026-08-27T10:00:00,12.92,5.30,38.79,630449
COW107,2026-08-28T10:00:00,12.68,5.35,38.83,701429
COW107,2026-08-29T10:00:00,12.49,5.44,38.88,743186
COW107,2026-08-30T10:00:00,12.17,5.53,38.91,795783
COW107,2026-08-31T10:00:00,12.16,5.67,39.04,852772
COW108,2026-08-18T10:00:00,14.93,4.36,38.25,174886
COW108,2026-08-19T10:00:00,14.61,4.54,38.39,246083
COW108,2026-08-20T10:00:00,14.24,4.68,38.44,323474
COW108,2026-08-21T10:00:00,14.00,4.85,38.48,381140
COW108,2026-08-22T10:00:00,13.57,5.05,38.62,453720
COW108,2026-08-23T10:00:00,13.22,5.22,38.64,503202
COW108,2026-08-24T10:00:00,12.69,5.43,38.77,571286
COW108,2026-08-25T10:00:00,12.38,5.63,38.78,653174
COW108,2026-08-26T10:00:00,12.04,5.77,38.90,703518
COW108,2026-08-27T10:00:00,11.77,6.01,38.92,780511
COW108,2026-08-28T10:00:00,11.19,6.21,39.03,838436
COW108,2026-08-29T10:00:00,10.85,6.38,39.10,923388
COW108,2026-08-30T10:00:00,10.63,6.58,39.19,993878
COW108,2026-08-31T10:00:00,10.34,6.71,39.27,1050115
COW109,2026-08-18T10:00:00,14.62,4.41,38.39,195848
COW109,2026-08-19T10:00:00,14.19,4.53,38.39,251765
COW109,2026-08-20T10:00:00,14.00,4.72,38.49,301513
COW109,2026-08-21T10:00:00,13.45,4.85,38.51,361058
COW109,2026-08-22T10:00:00,13.31,4.99,38.57,428501
COW109,2026-08-23T10:00:00,13.07,5.14,38.65,483330
